title,url
'Splosion Man (X360),https://www.metacritic.com/game/xbox-360/splosion-man
0 Day Attack on Earth (X360),https://www.metacritic.com/game/xbox-360/0-day-attack-on-earth
007 Legends (X360),https://www.metacritic.com/game/xbox-360/007-legends
007: Quantum of Solace (X360),https://www.metacritic.com/game/xbox-360/007-quantum-of-solace
1 vs. 100 (X360),https://www.metacritic.com/game/xbox-360/1-vs-100
1942: Joint Strike (X360),https://www.metacritic.com/game/xbox-360/1942-joint-strike
2010 FIFA World Cup South Africa (X360),https://www.metacritic.com/game/xbox-360/2010-fifa-world-cup-south-africa
2014 FIFA World Cup Brazil (X360),https://www.metacritic.com/game/xbox-360/2014-fifa-world-cup-brazil
2K Essentials Collection (X360),https://www.metacritic.com/game/xbox-360/2k-essentials-collection
2K Power Pack (X360),https://www.metacritic.com/game/xbox-360/2k-power-pack
3 on 3 NHL Arcade (X360),https://www.metacritic.com/game/xbox-360/3-on-3-nhl-arcade
3 Point Contest (X360),https://www.metacritic.com/game/xbox-360/3-point-contest
3D Ultra MiniGolf Adventures (X360),https://www.metacritic.com/game/xbox-360/3d-ultra-minigolf-adventures
3D Ultra MiniGolf Adventures 2 (X360),https://www.metacritic.com/game/xbox-360/3d-ultra-minigolf-adventures-2
50 Cent: Blood on the Sand (X360),https://www.metacritic.com/game/xbox-360/50-cent-blood-on-the-sand
A Kingdom for Keflings (X360),https://www.metacritic.com/game/xbox-360/a-kingdom-for-keflings
A World of Keflings (X360),https://www.metacritic.com/game/xbox-360/a-world-of-keflings
A World of Keflings: It Came From Outer Space (X360),https://www.metacritic.com/game/xbox-360/a-world-of-keflings-it-came-from-outer-space
"A World of Keflings: Sugar, Spice, and Not So Nice (X360)",https://www.metacritic.com/game/xbox-360/a-world-of-keflings-sugar-spice-and-not-so-nice
A World of Keflings: The Curse of the Zombiesaurus (X360),https://www.metacritic.com/game/xbox-360/a-world-of-keflings-the-curse-of-the-zombiesaurus
A.R.E.S. Extinction Agenda EX (X360),https://www.metacritic.com/game/xbox-360/ares-extinction-agenda-ex
Abyss Odyssey (X360),https://www.metacritic.com/game/xbox-360/abyss-odyssey
AC/DC Live: Rock Band Track Pack (X360),https://www.metacritic.com/game/xbox-360/acdc-live-rock-band-track-pack
Ace Combat 6: Fires of Liberation (X360),https://www.metacritic.com/game/xbox-360/ace-combat-6-fires-of-liberation
Ace Combat: Assault Horizon (X360),https://www.metacritic.com/game/xbox-360/ace-combat-assault-horizon
